Frage;Antwort
"Welche Norm regelt den Aufbau des Geschäftsbriefs?";"DIN 5008 (eine Empfehlung, kein Gesetz)."
"Nenne die Hauptbestandteile eines Geschäftsbriefs (Reihenfolge).";"Briefkopf, Anschriftfeld, Bezugszeichenzeile/Datum, Betreff, Anrede, Text, Grußformel, Unterschrift, Anlagen."
"Wie wird der Betreff im Geschäftsbrief geschrieben?";"In einer Zeile, ohne das Wort ''Betreff'' und nicht unterstrichen."
"Wie schreibt man Ort und Land bei einer Auslandsanschrift?";"In Großbuchstaben."
"Woraus besteht eine vollständige Bewerbungsmappe?";"Anschreiben, tabellarischer Lebenslauf, Zeugnisse (ggf. Deckblatt)."
"Wie lang sollte ein Bewerbungsanschreiben sein?";"Maximal eine Seite, individuell auf die Stelle zugeschnitten."
"Wie ist ein Lebenslauf aufgebaut?";"Tabellarisch, lückenlos, meist antichronologisch (Neuestes zuerst), mit Ort/Datum und Unterschrift."
"Was bedeutet ''stets zu unserer vollsten Zufriedenheit'' in der Zeugnissprache?";"Note sehr gut (1)."
"Was bedeutet ''zu unserer vollen Zufriedenheit''?";"Note befriedigend (3)."
"Was ist bei einer geschäftlichen E-Mail wie im Brief zu beachten?";"Aussagekräftiger Betreff, Anrede und Grußformel, sachlich/kurz, Signatur."
"Welche Fragen beantwortet ein Bericht?";"Die W-Fragen: Wer? Was? Wann? Wo? Wie? Warum?"
"Welche Zeitform hat ein Bericht meist?";"Präteritum (Vergangenheit); objektiv, ohne Wertung."
"Was ist ein Protokoll?";"Die schriftliche Niederschrift von Verlauf/Ergebnissen einer Sitzung; gehört zu den Berichten."
"Nenne die Protokollarten.";"Verlaufsprotokoll, Ergebnisprotokoll, Wortprotokoll, Gedächtnisprotokoll."
"Unterschied Verlaufs- und Ergebnisprotokoll?";"Verlaufsprotokoll gibt den Ablauf ausführlich wieder; Ergebnisprotokoll nur die Ergebnisse/Beschlüsse."
"Was gehört in den Protokollkopf?";"Ort, Datum, Beginn/Ende, Teilnehmer, Protokollführer, Tagesordnung."
"Welche Grundregeln gelten für alle Beschreibungen?";"Sachlich/objektiv, genau, Präsens, logische Reihenfolge, keine Wertung."
"Wie ist eine Gegenstandsbeschreibung aufgebaut?";"Vom Gesamteindruck (Form, Größe, Material) zu den Einzelteilen und deren Funktion."
"Was beschreibt eine Vorgangsbeschreibung?";"Einen Ablauf Schritt für Schritt in der richtigen Reihenfolge."
"Wie formuliert man in einer Bedienungsanleitung?";"Als Handlungsanweisung (Imperativ oder Infinitiv), Schritt für Schritt, mit Sicherheitshinweisen."
"Ist die DIN 5008 ein Gesetz?";"Nein – eine Empfehlung. Sie sorgt aber für ein einheitliches, professionelles Erscheinungsbild."
"Wie viele Zeilen hat das Anschriftfeld?";"9 Zeilen: 3 Zeilen Zusatz-/Vermerkzone plus 6 Zeilen Anschriftzone."
"Was gehört in die Zusatz- und Vermerkzone?";"Postalische Vermerke wie Einschreiben oder Vorausverfügungen (Falls unzustellbar…)."
"Welche Bauschreiben haben Fristen und Rechtsfolgen?";"Behinderungsanzeige (§6 VOB/B), Bedenkenanmeldung (§4 VOB/B), Mängelrüge."
"Was bedeuten i. A., i. V. und ppa.?";"im Auftrag (Einzelfall-Vollmacht), in Vertretung (umfassender), per procura (Prokurist)."
"Wie formuliert man im Geschäftsbrief richtig?";"Aktiv statt passiv, konkret statt vage, kurze Sätze, keine Floskeln."
"Was gehört in eine Bedenkenanmeldung?";"Bezug, Sachverhalt, konkrete Bedenken mit Begründung, mögliche Folgen, Vorschlag, Bitte um Entscheidung mit Frist."
"Warum reicht Behauptung im Anschreiben nicht?";"Eigenschaften müssen belegt werden – nicht 'teamfähig', sondern 'zwei Jahre Führung von sechs Mitarbeitern'."
"Wie lang darf das Bewerbungsanschreiben sein?";"Maximal eine Seite, individuell auf die Stelle zugeschnitten."
"Was bedeutet 'Er bemühte sich' im Zeugnis?";"Er war erfolglos – Bemühen ohne Ergebnis."
"Was bedeutet eine fehlende Dankes- und Bedauernsformel?";"Warnsignal – deutet auf eine unerfreuliche Trennung hin."
"Was macht einen guten E-Mail-Betreff aus?";"Bauvorhaben + Thema + ggf. Datum/Nummer – damit man ihn später wiederfindet."
"Warum rechtsverbindliche Erklärungen nicht nur per E-Mail?";"Weil der Zugang nachweisbar sein muss – zusätzlich per Post oder Einschreiben."
"Warum ist der Bautagesbericht so wichtig?";"Er ist im Streitfall oft das einzige Beweismittel – Grundlage für Nachträge, Behinderungen und Bauzeitverlängerung."
"Was gehört in einen Bautagesbericht?";"Witterung, Arbeitskräfte, Geräte, ausgeführte Arbeiten, Lieferungen mit Uhrzeit, besondere Vorkommnisse, Stunden."
"Welcher Test hilft beim sachlichen Formulieren?";"Frage: Könnte ich das vor Gericht belegen? Wenn nein – umformulieren."
"Welche Protokollart ist im Bau Standard?";"Das Ergebnisprotokoll – es hält Beschlüsse fest, nicht den Diskussionsverlauf."
"Was fehlt einem Protokoll ohne 'Wer? Bis wann?'";"Es ist wertlos – Beschlüsse müssen Verantwortlichen und Frist nennen."
"Welche Zeitform und Redeform im Protokoll?";"Präsens und indirekte Rede (Konjunktiv): 'Herr Meier erklärt, die Lieferung verzögere sich.'"
"Wie wird ein Protokoll verbindlich?";"Durch Versand mit Einspruchsfrist: 'Einwendungen innerhalb einer Woche, sonst gilt es als genehmigt.'"
